TimeInterval,Function,HitCount,Percentage,Time(ms),Time/Hit
0,b2ParticleSystem::AddContact,13,0.0065,1.0474,0.0805692
0,b2ParticleContact::GetWeight,9,0.0045,1.0806,0.120067
0,b2ParticleSystem::FindContacts_Reference,8,0.004,0.6683,0.0835375
0,b2GrowableBuffer<b2ParticleContact>::operator[],7,0.0035,0.6092,0.0870286
0,std::less<void>::operator()<b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &>,6,0.003,0.6932,0.115533
0,b2Vec2::b2Vec2,6,0.003,0.4997,0.0832833
0,b2ParticleSystem::SolveDamping,5,0.0025,0.4553,0.09106
0,b2ParticleSystem::ComputeAABB,3,0.0015,0.2312,0.0770667
0,std::_Partition_by_median_guess_unchecked<b2ParticleSystem::Proxy *std::less<void> >,3,0.0015,0.2218,0.0739333
0,b2ParticleContact::GetIndexA,3,0.0015,0.255,0.085
0,b2ParticleSystem::SolvePressure,3,0.0015,0.228,0.076
0,b2ParticleContact::GetIndexB,3,0.0015,0.2591,0.0863667
0,std::_Debug_lt_pred<std::less<void> &b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &0>,3,0.0015,0.2408,0.0802667
0,b2PolygonShape::ComputeDistance,3,0.0015,0.2435,0.0811667
0,b2ParticleSystem::ComputeWeight,2,0.001,0.1577,0.07885
0,std::_Insertion_sort_unchecked<b2ParticleSystem::Proxy *std::less<void> >,2,0.001,0.1515,0.07575
0,`b2ParticleSystem::UpdateBodyContacts'::`2'::UpdateBodyContactsCallback::ReportFixtureAndParticle,2,0.001,0.1783,0.08915
0,std::move<b2ParticleSystem::Proxy &>,2,0.001,0.1516,0.0758
0,b2ParticleContact::SetNormal,2,0.001,0.1731,0.08655
0,b2Vec2::operator-=,1,0.0005,0.0664,0.0664
0,b2Fixture::RayCast,1,0.0005,0.0629,0.0629
0,std::_Prev_iter<b2ParticleSystem::Proxy *>,1,0.0005,0.0761,0.0761
0,b2World::Solve,1,0.0005,0.0894,0.0894
0,std::_Sort_unchecked<b2ParticleSystem::Proxy *std::less<void> >,1,0.0005,0.0775,0.0775
0,b2ParticleContact::SetWeight,1,0.0005,0.0832,0.0832
0,std::_Get_unwrapped<b2ParticleSystem::Proxy * const &>,1,0.0005,0.0951,0.0951
0,b2World::Step,1,0.0005,0.0813,0.0813
0,b2ParticleContact::GetNormal,1,0.0005,0.1119,0.1119
0,b2ParticleSystem::UpdateProxies_Reference,1,0.0005,0.0747,0.0747
1,b2ParticleSystem::AddContact,18,0.009,1.4128,0.0784889
1,b2PolygonShape::ComputeDistance,18,0.009,1.2732,0.0707333
1,b2Vec2::b2Vec2,16,0.008,1.3263,0.0828938
1,b2ParticleSystem::SolveDamping,13,0.0065,0.939,0.0722308
1,`b2ParticleSystem::SolveCollision'::`2'::SolveCollisionCallback::ReportFixtureAndParticle,10,0.005,0.8127,0.08127
1,std::_Debug_lt_pred<std::less<void> &b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &0>,8,0.004,0.6169,0.0771125
1,b2ParticleSystem::SolvePressure,8,0.004,0.6649,0.0831125
1,`b2ParticleSystem::UpdateBodyContacts'::`2'::UpdateBodyContactsCallback::ReportFixtureAndParticle,7,0.0035,0.5797,0.0828143
1,std::less<void>::operator()<b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &>,5,0.0025,0.4186,0.08372
1,b2ParticleSystem::UpdateProxies_Reference,5,0.0025,0.5011,0.10022
1,b2ParticleContact::SetNormal,5,0.0025,0.4219,0.08438
1,b2ParticleSystem::FindContacts_Reference,5,0.0025,0.4117,0.08234
1,b2ParticleSystem::InsideBoundsEnumerator::GetNext,5,0.0025,0.3908,0.07816
1,b2GrowableBuffer<b2ParticleContact>::operator[],4,0.002,0.346,0.0865
1,b2Vec2::LengthSquared,3,0.0015,0.2536,0.0845333
1,std::_Sort_unchecked<b2ParticleSystem::Proxy *std::less<void> >,3,0.0015,0.2222,0.0740667
1,b2ParticleSystem::ComputeAABB,3,0.0015,0.2173,0.0724333
1,b2ParticleContact::GetIndexB,3,0.0015,0.2426,0.0808667
1,b2PolygonShape::RayCast,2,0.001,0.1495,0.07475
1,std::move<b2ParticleSystem::Proxy &>,2,0.001,0.148,0.074
1,b2ParticleSystem::ComputeWeight,2,0.001,0.1865,0.09325
1,b2ParticleContact::SetWeight,2,0.001,0.142,0.071
1,std::_Prev_iter<b2ParticleSystem::Proxy *>,2,0.001,0.1816,0.0908
1,b2ParticleContact::GetWeight,2,0.001,0.1655,0.08275
1,b2ParticleSystem::GetParticleInvMass,1,0.0005,0.0586,0.0586
1,b2ParticleSystem::SolveLifetimes,1,0.0005,0.0657,0.0657
1,std::_To_address<b2ParticleSystem::Proxy *>,1,0.0005,0.1028,0.1028
1,b2GrowableBuffer<b2ParticleContact>::GetCount,1,0.0005,0.0932,0.0932
1,std::_Next_iter<b2ParticleSystem::Proxy *>,1,0.0005,0.092,0.092
1,b2Vec2::operator+=,1,0.0005,0.052,0.052
1,b2ParticleContact::GetNormal,1,0.0005,0.0706,0.0706
1,std::_Insertion_sort_unchecked<b2ParticleSystem::Proxy *std::less<void> >,1,0.0005,0.063,0.063
1,b2Vec2::operator-=,1,0.0005,0.0333,0.0333
1,b2Vec2::Normalize,1,0.0005,0.0794,0.0794
1,b2ParticleSystem::SolveCollision,1,0.0005,0.0692,0.0692
2,b2ParticleSystem::AddContact,24,0.012,2.0801,0.0866708
2,b2Vec2::b2Vec2,13,0.0065,0.8727,0.0671308
2,b2ParticleSystem::UpdateProxies_Reference,9,0.0045,0.9269,0.102989
2,b2PolygonShape::ComputeDistance,9,0.0045,0.7096,0.0788444
2,std::_Debug_lt_pred<std::less<void> &b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &0>,8,0.004,0.7398,0.092475
2,b2ParticleContact::GetWeight,7,0.0035,0.4407,0.0629571
2,`b2ParticleSystem::SolveCollision'::`2'::SolveCollisionCallback::ReportFixtureAndParticle,7,0.0035,0.5942,0.0848857
2,b2ParticleSystem::InsideBoundsEnumerator::GetNext,5,0.0025,0.4155,0.0831
2,b2ParticleSystem::SolveDamping,5,0.0025,0.3918,0.07836
2,b2ParticleSystem::SolvePressure,5,0.0025,0.3426,0.06852
2,std::less<void>::operator()<b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &>,5,0.0025,0.5698,0.11396
2,`b2ParticleSystem::UpdateBodyContacts'::`2'::UpdateBodyContactsCallback::ReportFixtureAndParticle,5,0.0025,0.3488,0.06976
2,b2ParticleSystem::FindContacts_Reference,5,0.0025,0.461,0.0922
2,b2PolygonShape::RayCast,4,0.002,0.3115,0.077875
2,b2GrowableBuffer<b2ParticleContact>::operator[],4,0.002,0.2979,0.074475
2,b2Vec2::operator+=,3,0.0015,0.2261,0.0753667
2,b2ParticleSystem::ComputeAABB,3,0.0015,0.2091,0.0697
2,b2GrowableBuffer<b2ParticleContact>::Append,3,0.0015,0.156,0.052
2,b2ParticleContact::SetNormal,3,0.0015,0.204,0.068
2,std::move<b2ParticleSystem::Proxy &>,3,0.0015,0.2025,0.0675
2,b2ParticleContact::SetWeight,3,0.0015,0.153,0.051
2,b2Vec2::Normalize,2,0.001,0.1451,0.07255
2,b2ParticleContact::GetIndexA,2,0.001,0.1097,0.05485
2,std::_Partition_by_median_guess_unchecked<b2ParticleSystem::Proxy *std::less<void> >,2,0.001,0.1925,0.09625
2,b2Fixture::GetBody,2,0.001,0.078,0.039
2,std::_Prev_iter<b2ParticleSystem::Proxy *>,2,0.001,0.1267,0.06335
2,b2ParticleSystem::ComputeWeight,1,0.0005,0.0561,0.0561
2,b2ParticleContact::SetIndices,1,0.0005,0.1033,0.1033
2,std::_Insertion_sort_unchecked<b2ParticleSystem::Proxy *std::less<void> >,1,0.0005,0.0602,0.0602
2,b2ParticleContact::GetNormal,1,0.0005,0.0867,0.0867
2,b2Fixture::IsSensor,1,0.0005,0.0791,0.0791
2,b2Vec2::operator-=,1,0.0005,0.0723,0.0723
2,b2RayCastInput::b2RayCastInput,1,0.0005,0.0332,0.0332
2,b2Vec2::Set,1,0.0005,0.0614,0.0614
2,std::swap<b2ParticleSystem::Proxy0>,1,0.0005,0.0395,0.0395
2,GLUI_Node::first_child,1,0.0005,0.0586,0.0586
2,b2ParticleSystem::SolveCollision,1,0.0005,0.0936,0.0936
2,b2GrowableBuffer<b2ParticleContact>::GetCount,1,0.0005,0.098,0.098
2,b2ParticleSystem::LimitVelocity,1,0.0005,0.0846,0.0846
2,b2FixtureParticleQueryCallback::ReportFixture,1,0.0005,0.0417,0.0417
2,TestMain::Resize,1,0.0005,0.0714,0.0714
2,b2Vec2::b2Vec2,1,0.0005,0.0692,0.0692
2,std::_Adl_verify_range<b2Pair *b2Pair *>,1,0.0005,0.0984,0.0984
3,b2Vec2::b2Vec2,8,0.004,0.6416,0.0802
3,b2ParticleSystem::UpdateProxies_Reference,4,0.002,0.3665,0.091625
3,b2ParticleSystem::AddContact,4,0.002,0.3185,0.079625
3,b2ParticleSystem::SolveCollision,3,0.0015,0.2601,0.0867
3,std::_Debug_lt_pred<std::less<void> &b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &0>,3,0.0015,0.1669,0.0556333
3,b2ParticleSystem::SolvePressure,2,0.001,0.1776,0.0888
3,b2ParticleContact::GetIndexA,2,0.001,0.1126,0.0563
3,b2ParticleSystem::SolveDamping,2,0.001,0.1885,0.09425
3,std::less<void>::operator()<b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &>,2,0.001,0.1569,0.07845
3,b2ParticleSystem::InsideBoundsEnumerator::GetNext,1,0.0005,0.0729,0.0729
3,b2Vec2::operator+=,1,0.0005,0.0422,0.0422
3,b2ParticleContact::SetIndices,1,0.0005,0.1136,0.1136
3,b2ParticleContact::SetWeight,1,0.0005,0.0445,0.0445
3,`b2ParticleSystem::SolveCollision'::`2'::SolveCollisionCallback::ReportFixtureAndParticle,1,0.0005,0.079,0.079
3,b2ParticleSystem::ComputeAABB,1,0.0005,0.1024,0.1024
3,b2ParticleContact::GetWeight,1,0.0005,0.1114,0.1114
3,b2PolygonShape::ComputeDistance,1,0.0005,0.0667,0.0667
3,b2Body::IsAwake,1,0.0005,0.0808,0.0808
3,`b2ParticleSystem::UpdateBodyContacts'::`2'::UpdateBodyContactsCallback::ReportFixtureAndParticle,1,0.0005,0.0435,0.0435
3,std::sort<b2ParticleSystem::Proxy *std::less<void> >,1,0.0005,0.1174,0.1174
3,b2Vec2::b2Vec2,1,0.0005,0.1308,0.1308
3,TestMain::Timer,1,0.0005,0.1086,0.1086
3,std::swap<b2ParticleSystem::Proxy0>,1,0.0005,0.0857,0.0857
3,b2RayCastOutput::b2RayCastOutput,1,0.0005,0.1047,0.1047
3,b2ParticleContact::SetNormal,1,0.0005,0.0442,0.0442
3,b2DistanceProxy::b2DistanceProxy,1,0.0005,0.1473,0.1473
3,b2ParticleSystem::ComputeWeight,1,0.0005,0.1151,0.1151
3,std::_Prev_iter<b2ParticleSystem::Proxy *>,1,0.0005,0.1029,0.1029
3,b2ParticleContact::GetIndexB,1,0.0005,0.1156,0.1156
3,b2Simplex::Solve3,1,0.0005,0.0762,0.0762
3,std::lower_bound<b2ParticleSystem::Proxy const *unsigned int>,1,0.0005,0.0519,0.0519
4,b2Vec2::b2Vec2,2,0.001,0.1431,0.07155
4,GLUI_Master_Object::get_viewport_area,1,0.0005,0.0697,0.0697
4,std::_Partition_by_median_guess_unchecked<b2ParticleSystem::Proxy *std::less<void> >,1,0.0005,0.1177,0.1177
4,b2ParticleSystem::LifetimeToExpirationTime,1,0.0005,0.0651,0.0651
4,b2ParticleSystem::UpdateProxies_Reference,1,0.0005,0.0792,0.0792
4,b2Transform::b2Transform,1,0.0005,0.0779,0.0779
4,std::_Debug_lt_pred<std::_Ref_fn<`anonymous namespace'::ExpirationTimeComparator> &int &int &0>,1,0.0005,0.0936,0.0936
4,std::_Debug_lt_pred<std::less<void> &b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &0>,1,0.0005,0.225,0.225
4,b2ContactSolver::SolvePositionConstraints,1,0.0005,0.0724,0.0724
4,b2Contact::GetFixtureA,1,0.0005,0.0562,0.0562
5,b2ParticleSystem::AddContact,17,0.0085,1.2404,0.0729647
5,b2ParticleSystem::SolvePressure,7,0.0035,0.555,0.0792857
5,b2Vec2::b2Vec2,6,0.003,0.4445,0.0740833
5,std::less<void>::operator()<b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &>,5,0.0025,0.4699,0.09398
5,std::_Debug_lt_pred<std::less<void> &b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &0>,5,0.0025,0.2603,0.05206
5,b2ParticleSystem::InsideBoundsEnumerator::GetNext,4,0.002,0.3141,0.078525
5,b2ParticleSystem::ComputeAABB,3,0.0015,0.2156,0.0718667
5,b2ParticleSystem::SolveDamping,3,0.0015,0.2262,0.0754
5,std::move<b2ParticleSystem::Proxy &>,2,0.001,0.259,0.1295
5,b2EdgeShape::RayCast,2,0.001,0.1548,0.0774
5,b2ParticleContact::GetIndexA,2,0.001,0.165,0.0825
5,b2ParticleContact::GetIndexB,2,0.001,0.1887,0.09435
5,b2ParticleContact::SetNormal,2,0.001,0.1835,0.09175
5,b2GrowableBuffer<b2ParticleContact>::GetCount,2,0.001,0.2443,0.12215
5,b2GrowableBuffer<b2ParticleContact>::operator[],1,0.0005,0.0786,0.0786
5,std::_Move_backward_unchecked<b2ParticleSystem::Proxy *b2ParticleSystem::Proxy *>,1,0.0005,0.036,0.036
5,b2Contact::Update,1,0.0005,0.0923,0.0923
5,b2ContactManager::Collide,1,0.0005,0.0995,0.0995
5,`b2ParticleSystem::UpdateBodyContacts'::`2'::UpdateBodyContactsCallback::ReportFixtureAndParticle,1,0.0005,0.0955,0.0955
5,b2ParticleSystem::UpdateProxies,1,0.0005,0.1156,0.1156
5,b2ParticleSystem::FindContacts_Reference,1,0.0005,0.0423,0.0423
5,Test::Step,1,0.0005,0.0889,0.0889
5,b2ParticleSystem::LimitVelocity,1,0.0005,0.0786,0.0786
5,b2GrowableBuffer<b2ParticleContact>::Append,1,0.0005,0.0966,0.0966
5,`anonymous namespace'::ExpirationTimeComparator::operator(),1,0.0005,0.1086,0.1086
5,b2ChainShape::GetChildEdge,1,0.0005,0.0941,0.0941
5,b2Vec2::operator+=,1,0.0005,0.1055,0.1055
5,b2Vec2::Length,1,0.0005,0.0881,0.0881
5,b2ParticleSystem::GetInsideBoundsEnumerator,1,0.0005,0.0673,0.0673
5,b2ChainShape::ComputeDistance,1,0.0005,0.0602,0.0602
5,b2Fixture::GetBody,1,0.0005,0.0874,0.0874
6,b2Vec2::b2Vec2,22,0.011,1.9042,0.0865545
6,b2ParticleSystem::AddContact,13,0.0065,1.1315,0.0870385
6,b2ParticleSystem::InsideBoundsEnumerator::GetNext,10,0.005,0.8327,0.08327
6,b2ParticleContact::GetWeight,9,0.0045,0.7103,0.0789222
6,std::_Debug_lt_pred<std::less<void> &b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &0>,8,0.004,0.7564,0.09455
6,b2ParticleSystem::SolveDamping,8,0.004,0.6861,0.0857625
6,b2GrowableBuffer<b2ParticleContact>::operator[],7,0.0035,0.6221,0.0888714
6,std::less<void>::operator()<b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &>,6,0.003,0.4579,0.0763167
6,b2ParticleSystem::UpdateProxies_Reference,6,0.003,0.5566,0.0927667
6,b2ParticleSystem::ComputeWeight,5,0.0025,0.3515,0.0703
6,b2ParticleSystem::SolveCollision,5,0.0025,0.3694,0.07388
6,b2ParticleSystem::SolvePressure,4,0.002,0.3525,0.088125
6,b2ParticleContact::SetNormal,4,0.002,0.2899,0.072475
6,`b2ParticleSystem::SolveCollision'::`2'::SolveCollisionCallback::ReportFixtureAndParticle,3,0.0015,0.2551,0.0850333
6,b2Vec2::Length,3,0.0015,0.2594,0.0864667
6,std::_Insertion_sort_unchecked<b2ParticleSystem::Proxy *std::less<void> >,3,0.0015,0.2512,0.0837333
6,b2Vec2::operator-=,3,0.0015,0.247,0.0823333
6,b2Vec2::operator+=,3,0.0015,0.2784,0.0928
6,b2ParticleContact::GetIndexB,3,0.0015,0.2809,0.0936333
6,b2ParticleContact::GetIndexA,3,0.0015,0.2598,0.0866
6,b2ParticleSystem::FindContacts_Reference,3,0.0015,0.2366,0.0788667
6,std::_Prev_iter<b2ParticleSystem::Proxy *>,2,0.001,0.0969,0.04845
6,std::iter_swap<b2ParticleSystem::Proxy *b2ParticleSystem::Proxy *>,2,0.001,0.1945,0.09725
6,std::_Partition_by_median_guess_unchecked<b2ParticleSystem::Proxy *std::less<void> >,2,0.001,0.1977,0.09885
6,`b2ParticleSystem::UpdateBodyContacts'::`2'::UpdateBodyContactsCallback::ReportFixtureAndParticle,2,0.001,0.1167,0.05835
6,b2ParticleSystem::ComputeAABB,2,0.001,0.1523,0.07615
6,b2EdgeShape::RayCast,2,0.001,0.1893,0.09465
6,b2EdgeShape::ComputeDistance,2,0.001,0.1612,0.0806
6,std::_Guess_median_unchecked<b2ParticleSystem::Proxy *std::less<void> >,1,0.0005,0.091,0.091
6,std::less<void>::operator()<unsigned int const &b2ParticleSystem::Proxy const &>,1,0.0005,0.085,0.085
6,b2ParticleContact::GetNormal,1,0.0005,0.0768,0.0768
6,b2ParticleContact::SetWeight,1,0.0005,0.0654,0.0654
6,b2GrowableBuffer<b2ParticleSystem::Proxy>::Begin,1,0.0005,0.0903,0.0903
6,b2GrowableBuffer<b2ParticleContact>::GetCount,1,0.0005,0.0808,0.0808
6,b2ParticleSystem::LimitVelocity,1,0.0005,0.0913,0.0913
6,b2Shape::b2Shape,1,0.0005,0.1008,0.1008
6,b2ChainShape::ComputeDistance,1,0.0005,0.086,0.086
6,b2Vec2::LengthSquared,1,0.0005,0.0438,0.0438
6,b2ParticleContact::SetIndices,1,0.0005,0.0934,0.0934
