TimeInterval,Function,HitCount,Percentage,Time(ms),Time/Hit
0,b2Vec2::b2Vec2,11,0.0055,0.7057,0.0641545
0,b2ParticleSystem::AddContact,11,0.0055,0.9763,0.0887545
0,std::less<void>::operator()<b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &>,10,0.005,0.6464,0.06464
0,b2ParticleSystem::SolveDamping,6,0.003,0.3173,0.0528833
0,b2Vec2::operator+=,5,0.0025,0.342,0.0684
0,b2ParticleContact::GetIndexB,5,0.0025,0.3588,0.07176
0,b2ParticleContact::SetNormal,4,0.002,0.2252,0.0563
0,b2ParticleContact::GetWeight,4,0.002,0.2181,0.054525
0,b2ParticleSystem::FindContacts_Reference,4,0.002,0.2229,0.055725
0,std::_Debug_lt_pred<std::less<void> &b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &0>,3,0.0015,0.2104,0.0701333
0,b2ParticleSystem::SolvePressure,3,0.0015,0.159,0.053
0,std::swap<b2ParticleSystem::Proxy0>,3,0.0015,0.2152,0.0717333
0,std::move<b2ParticleSystem::Proxy &>,3,0.0015,0.1234,0.0411333
0,b2GrowableBuffer<b2ParticleContact>::operator[],2,0.001,0.0913,0.04565
0,b2ParticleContact::SetWeight,2,0.001,0.1163,0.05815
0,b2ParticleSystem::UpdateProxies_Reference,2,0.001,0.0709,0.03545
0,`b2ParticleSystem::SolveCollision'::`2'::SolveCollisionCallback::ReportFixtureAndParticle,2,0.001,0.0788,0.0394
0,b2ParticleContact::GetIndexA,2,0.001,0.0919,0.04595
0,b2ParticleSystem::ComputeWeight,2,0.001,0.1356,0.0678
0,b2ParticleSystem::SolveCollision,2,0.001,0.0815,0.04075
0,b2ParticleSystem::InsideBoundsEnumerator::GetNext,1,0.0005,0.0402,0.0402
0,b2ParticleContact::SetFlags,1,0.0005,0.0306,0.0306
0,b2Vec2::Set,1,0.0005,0.0713,0.0713
0,b2Vec2::operator-=,1,0.0005,0.0316,0.0316
0,b2Vec2::LengthSquared,1,0.0005,0.0486,0.0486
0,WaveMachine::Step,1,0.0005,0.0368,0.0368
0,`b2ParticleSystem::UpdateBodyContacts'::`2'::UpdateBodyContactsCallback::ReportFixtureAndParticle,1,0.0005,0.0767,0.0767
0,b2GrowableBuffer<b2ParticleContact>::GetCount,1,0.0005,0.0809,0.0809
0,std::_Prev_iter<b2ParticleSystem::Proxy *>,1,0.0005,0.0617,0.0617
0,b2ParticleSystem::ComputeAABB,1,0.0005,0.0738,0.0738
1,b2ParticleSystem::AddContact,16,0.008,1.0914,0.0682125
1,b2Vec2::b2Vec2,14,0.007,0.9403,0.0671643
1,b2PolygonShape::ComputeDistance,9,0.0045,0.4971,0.0552333
1,`b2ParticleSystem::SolveCollision'::`2'::SolveCollisionCallback::ReportFixtureAndParticle,7,0.0035,0.3589,0.0512714
1,b2ParticleSystem::InsideBoundsEnumerator::GetNext,6,0.003,0.3361,0.0560167
1,b2ParticleSystem::SolvePressure,5,0.0025,0.2201,0.04402
1,b2ParticleContact::GetWeight,5,0.0025,0.2636,0.05272
1,b2PolygonShape::RayCast,5,0.0025,0.3435,0.0687
1,b2ParticleSystem::SolveDamping,5,0.0025,0.4089,0.08178
1,b2ParticleSystem::ComputeAABB,4,0.002,0.1938,0.04845
1,std::less<void>::operator()<b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &>,4,0.002,0.2343,0.058575
1,std::_Debug_lt_pred<std::less<void> &b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &0>,4,0.002,0.2218,0.05545
1,b2ParticleSystem::UpdateProxies_Reference,4,0.002,0.2691,0.067275
1,b2Vec2::operator-=,3,0.0015,0.2232,0.0744
1,b2Vec2::Normalize,3,0.0015,0.1432,0.0477333
1,b2ParticleSystem::SolveCollision,3,0.0015,0.1095,0.0365
1,b2ParticleSystem::FindContacts_Reference,3,0.0015,0.1574,0.0524667
1,b2ParticleContact::SetIndices,2,0.001,0.1584,0.0792
1,std::move<b2ParticleSystem::Proxy &>,2,0.001,0.0996,0.0498
1,b2ParticleContact::GetIndexA,2,0.001,0.1294,0.0647
1,b2ParticleContact::SetWeight,2,0.001,0.4009,0.20045
1,b2ParticleContact::SetNormal,2,0.001,0.1007,0.05035
1,b2ParticleContact::GetNormal,1,0.0005,0.0458,0.0458
1,std::_Insertion_sort_unchecked<b2ParticleSystem::Proxy *std::less<void> >,1,0.0005,0.0633,0.0633
1,GLUI_Main::find_control,1,0.0005,0.0548,0.0548
1,b2Vec2::LengthSquared,1,0.0005,0.0702,0.0702
1,b2ParticleSystem::LimitVelocity,1,0.0005,0.0651,0.0651
1,std::swap<b2ParticleSystem::Proxy0>,1,0.0005,0.0333,0.0333
1,std::_Prev_iter<b2ParticleSystem::Proxy *>,1,0.0005,0.1009,0.1009
1,std::lower_bound<b2ParticleSystem::Proxy const *unsigned int>,1,0.0005,0.0704,0.0704
1,b2ParticleSystem::DetectStuckParticle,1,0.0005,0.0538,0.0538
1,b2Fixture::ComputeDistance,1,0.0005,0.0683,0.0683
1,`b2ParticleSystem::UpdateBodyContacts'::`2'::UpdateBodyContactsCallback::ReportFixtureAndParticle,1,0.0005,0.0783,0.0783
1,b2ParticleSystem::ComputeWeight,1,0.0005,0.063,0.063
1,b2ParticleContact::GetIndexB,1,0.0005,0.0674,0.0674
1,std::_Partition_by_median_guess_unchecked<b2ParticleSystem::Proxy *std::less<void> >,1,0.0005,0.0324,0.0324
2,b2ParticleSystem::AddContact,12,0.006,0.6917,0.0576417
2,b2PolygonShape::ComputeDistance,7,0.0035,0.3615,0.0516429
2,b2ParticleSystem::SolvePressure,5,0.0025,0.2983,0.05966
2,std::_Debug_lt_pred<std::less<void> &b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &0>,5,0.0025,0.2348,0.04696
2,b2Vec2::b2Vec2,5,0.0025,0.3737,0.07474
2,b2ParticleSystem::InsideBoundsEnumerator::GetNext,4,0.002,0.1652,0.0413
2,`b2ParticleSystem::SolveCollision'::`2'::SolveCollisionCallback::ReportFixtureAndParticle,4,0.002,0.2126,0.05315
2,b2ParticleContact::SetNormal,3,0.0015,0.1826,0.0608667
2,b2Vec2::operator-=,3,0.0015,0.2076,0.0692
2,b2ParticleSystem::ComputeAABB,3,0.0015,0.2036,0.0678667
2,`b2ParticleSystem::UpdateBodyContacts'::`2'::UpdateBodyContactsCallback::ReportFixtureAndParticle,3,0.0015,0.2071,0.0690333
2,b2Vec2::Normalize,3,0.0015,0.2431,0.0810333
2,b2Vec2::Length,3,0.0015,0.1955,0.0651667
2,std::_Partition_by_median_guess_unchecked<b2ParticleSystem::Proxy *std::less<void> >,2,0.001,0.1382,0.0691
2,b2ParticleSystem::FindContacts_Reference,2,0.001,0.0808,0.0404
2,b2ParticleContact::SetWeight,2,0.001,0.2988,0.1494
2,b2ParticleContact::GetWeight,2,0.001,0.1086,0.0543
2,b2Vec2::operator+=,2,0.001,0.1468,0.0734
2,b2ParticleSystem::ComputeWeight,2,0.001,0.1212,0.0606
2,b2GrowableBuffer<b2ParticleContact>::GetCount,2,0.001,0.1356,0.0678
2,b2ParticleSystem::UpdateProxies_Reference,2,0.001,0.1173,0.05865
2,b2PolygonShape::RayCast,1,0.0005,0.0457,0.0457
2,std::_Insertion_sort_unchecked<b2ParticleSystem::Proxy *std::less<void> >,1,0.0005,0.0581,0.0581
2,std::_Guess_median_unchecked<b2ParticleSystem::Proxy *std::less<void> >,1,0.0005,0.0361,0.0361
2,b2ParticleSystem::SolveCollision,1,0.0005,0.0716,0.0716
2,std::move<b2ParticleSystem::Proxy &>,1,0.0005,0.0835,0.0835
2,b2ParticleSystem::UpdateProxies,1,0.0005,0.0495,0.0495
2,b2ParticleContact::GetNormal,1,0.0005,0.0866,0.0866
2,`anonymous namespace'::FixedSetAllocator::~FixedSetAllocator,1,0.0005,0.0422,0.0422
2,b2ParticleContact::SetIndices,1,0.0005,0.0694,0.0694
2,b2Vec2::LengthSquared,1,0.0005,0.0514,0.0514
3,b2ParticleSystem::SolvePressure,13,0.0065,0.7632,0.0587077
3,b2ParticleSystem::SolveDamping,11,0.0055,0.6777,0.0616091
3,b2Vec2::b2Vec2,11,0.0055,0.6127,0.0557
3,b2ParticleSystem::AddContact,11,0.0055,0.874,0.0794545
3,b2ParticleContact::GetWeight,10,0.005,0.5904,0.05904
3,b2ParticleContact::SetNormal,7,0.0035,0.5405,0.0772143
