TimeInterval,Function,HitCount,Percentage,Time(ms),Time/Hit
0,NtUserMsgWaitForMultipleObjectsEx,206,0.103,17.7044,0.0859437
0,NtQueryInformationThread,55,0.0275,3.2725,0.0595
0,ZwWaitForSingleObject,35,0.0175,3.0259,0.0864543
0,operator<,14,0.007,0.8675,0.0619643
0,b2Vec2::b2Vec2,11,0.0055,0.7057,0.0641545
0,b2ParticleSystem::AddContact,11,0.0055,0.9763,0.0887545
0,operator-,10,0.005,0.6221,0.06221
0,std::less<void>::operator()<b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &>,10,0.005,0.6464,0.06464
0,NtUserGetMessage,8,0.004,0.5993,0.0749125
0,b2Dot,8,0.004,0.417,0.052125
0,b2InvSqrt,7,0.0035,0.3682,0.0526
0,b2ParticleSystem::SolveDamping,6,0.003,0.3173,0.0528833
0,b2Vec2::operator+=,5,0.0025,0.342,0.0684
0,b2ParticleContact::GetIndexB,5,0.0025,0.3588,0.07176
0,b2ParticleContact::SetNormal,4,0.002,0.2252,0.0563
0,b2ParticleContact::GetWeight,4,0.002,0.2181,0.054525
0,NtUserPeekMessage,4,0.002,0.3086,0.07715
0,_RTC_CheckStackVars,4,0.002,0.3392,0.0848
0,NtUserSetCursor,4,0.002,0.2611,0.065275
0,b2ParticleSystem::FindContacts_Reference,4,0.002,0.2229,0.055725
0,std::_Debug_lt_pred<std::less<void> &b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &0>,3,0.0015,0.2104,0.0701333
0,b2ParticleSystem::SolvePressure,3,0.0015,0.159,0.053
0,std::swap<b2ParticleSystem::Proxy0>,3,0.0015,0.2152,0.0717333
0,std::move<b2ParticleSystem::Proxy &>,3,0.0015,0.1234,0.0411333
0,operator*,3,0.0015,0.1517,0.0505667
0,b2GrowableBuffer<b2ParticleContact>::operator[],2,0.001,0.0913,0.04565
0,b2ParticleContact::SetWeight,2,0.001,0.1163,0.05815
0,b2ParticleSystem::UpdateProxies_Reference,2,0.001,0.0709,0.03545
0,`b2ParticleSystem::SolveCollision'::`2'::SolveCollisionCallback::ReportFixtureAndParticle,2,0.001,0.0788,0.0394
0,b2ParticleContact::GetIndexA,2,0.001,0.0919,0.04595
0,NtUserFindExistingCursorIcon,2,0.001,0.1325,0.06625
0,computeTag,2,0.001,0.1328,0.0664
0,b2Min<float>,2,0.001,0.0829,0.04145
0,b2ParticleSystem::ComputeWeight,2,0.001,0.1356,0.0678
0,b2ParticleSystem::SolveCollision,2,0.001,0.0815,0.04075
0,b2ParticleSystem::InsideBoundsEnumerator::GetNext,1,0.0005,0.0402,0.0402
0,ILT+8845(??Yb2Vec2QEAAXAEBU0Z),1,0.0005,0.0713,0.0713
0,NtUserDestroyCursor,1,0.0005,0.0668,0.0668
0,ILT+2970(?StepWaveMachineUEAAXPEAUSettingsZ),1,0.0005,0.0362,0.0362
0,RtlQueryPerformanceCounter,1,0.0005,0.0348,0.0348
0,NtUserCreateEmptyCursorObject,1,0.0005,0.0573,0.0573
0,strlen,1,0.0005,0.0566,0.0566
0,b2ParticleContact::SetFlags,1,0.0005,0.0306,0.0306
0,computeRelativeTag,1,0.0005,0.0679,0.0679
0,b2Vec2::Set,1,0.0005,0.0713,0.0713
0,b2Vec2::operator-=,1,0.0005,0.0316,0.0316
0,b2Vec2::LengthSquared,1,0.0005,0.0486,0.0486
0,WaveMachine::Step,1,0.0005,0.0368,0.0368
0,NtDelayExecution,1,0.0005,0.0617,0.0617
0,`b2ParticleSystem::UpdateBodyContacts'::`2'::UpdateBodyContactsCallback::ReportFixtureAndParticle,1,0.0005,0.0767,0.0767
0,b2GrowableBuffer<b2ParticleContact>::GetCount,1,0.0005,0.0809,0.0809
0,b2Max<float>,1,0.0005,0.0715,0.0715
0,ILT+17060(?GetCount?$b2GrowableBufferUb2ParticleContactQEBAHXZ),1,0.0005,0.0723,0.0723
0,std::_Prev_iter<b2ParticleSystem::Proxy *>,1,0.0005,0.0617,0.0617
0,NtUserGetIconInfo,1,0.0005,0.0444,0.0444
0,NtUserSetClassLongPtr,1,0.0005,0.1027,0.1027
0,b2ParticleSystem::ComputeAABB,1,0.0005,0.0738,0.0738
1,NtUserMsgWaitForMultipleObjectsEx,151,0.0755,11.799,0.0781391
1,NtUserMessageCall,102,0.051,9.3638,0.091802
1,b2ParticleSystem::AddContact,16,0.008,1.0914,0.0682125
1,b2Vec2::b2Vec2,14,0.007,0.9403,0.0671643
1,NtUserGetMessage,9,0.0045,0.7338,0.0815333
1,b2PolygonShape::ComputeDistance,9,0.0045,0.4971,0.0552333
1,b2InvSqrt,9,0.0045,0.5387,0.0598556
1,operator-,9,0.0045,0.4694,0.0521556
1,operator<,9,0.0045,0.5201,0.0577889
1,b2Dot,8,0.004,0.3864,0.0483
1,operator*,8,0.004,0.7572,0.09465
